Air Tmp (C) M 60 Min,QNH (hPa) M,RH (%) M 60 Min,WS 60 Min (kt) M
24.54,1006.98,97.5,2.0
25.29,1011.23,91.5,3.0
31.88,1006.03,63.7,5.0
31.21,1008.54,61.3,4.0
31.46,1009.88,58.4,7.0
24.2,1012.53,97.2,2.0
22.73,1011.59,95.5,1.0
26.97,1008.49,81.0,5.0
31.95,1009.1,60.2,6.0
23.09,1006.78,98.1,2.0
27.57,1012.51,78.0,2.0
23.91,1010.57,93.0,1.0
29.4,1005.64,73.8,5.0
24.1,1009.93,97.7,1.0
24.05,1011.01,95.6,2.0
26.46,1010.13,83.1,3.0
27.5,1005.76,80.9,5.0
24.61,1008.27,99.4,1.0
23.34,1010.7,98.1,4.0
30.14,1007.69,68.7,7.0
23.56,1010.64,95.9,3.0
27.22,1006.33,84.7,4.0
24.92,1009.79,95.7,5.0
24.2,1011.5,96.8,2.0
31.51,1010.66,57.0,7.0
23.23,1008.73,98.9,1.0
28.83,1004.91,75.1,7.0
23.7,1006.4,96.1,1.0
29.79,1007.87,70.8,6.0
30.23,1009.59,67.8,4.0
31.18,1005.86,63.3,4.0
25.48,1009.35,91.4,2.0
24.47,1009.63,94.1,6.0
27.08,1010.22,85.9,2.0
29.58,1010.33,76.9,3.0
22.74,1009.93,100.0,1.0
23.86,1008.83,98.6,3.0
24.62,1007.16,94.5,2.0
30.33,1010.77,63.7,4.0
23.91,1008.2,98.2,3.0
23.01,1009.62,99.2,1.0
24.68,1008.32,94.7,4.0
29.4,1011.79,63.7,7.0
25.52,1010.15,93.9,5.0
24.18,1008.06,99.4,2.0
23.26,1012.69,95.6,3.0
23.3,1010.43,100.0,2.0
25.77,1008.39,89.8,4.0
24.92,1011.83,89.6,4.0
23.17,1012.15,94.6,1.0
22.93,1011.99,90.6,2.0
30.6,1011.85,61.0,7.0
24.26,1007.15,96.1,1.0
30.31,1006.49,69.9,4.0
24.15,1011.21,95.0,2.0
26.91,1006.79,80.2,7.0
28.64,1011.92,76.9,3.0
23.69,1007.42,98.8,2.0
23.51,1010.47,99.7,2.0
23.29,1008.16,97.7,1.0
28.97,1010.49,72.7,8.0
25.49,1009.88,84.8,4.0
24.9,1008.71,93.8,3.0
23.03,1009.21,97.4,2.0
29.14,1007.61,72.3,8.0
25.61,1009.03,88.6,11.0
27.64,1008.26,80.8,3.0
28.04,1009.69,78.5,2.0
28.95,1007.32,72.6,7.0
24.67,1009.69,96.9,2.0
29.81,1005.91,70.3,9.0
31.37,1005.73,63.1,7.0
25.51,1006.63,88.2,4.0
23.46,1006.08,95.3,3.0
23.67,1007.45,98.1,3.0
24.07,1010.01,93.0,3.0
23.79,1009.21,95.6,2.0
23.4,1009.38,99.0,2.0
23.79,1007.71,99.7,3.0
24.31,1008.2,100.0,3.0
29.47,1005.45,67.5,4.0
26.53,1009.49,86.8,4.0
27.55,1012.4,86.5,2.0
22.67,1010.44,100.0,2.0
30.05,1006.67,68.6,10.0
30.39,1007.86,67.5,3.0
23.8,1009.69,96.5,3.0
23.46,1011.76,93.1,2.0
28.18,1007.61,80.6,2.0
30.11,1007.61,65.4,5.0
25.06,1009.35,92.5,1.0
29.57,1010.84,73.4,5.0
24.58,1009.69,99.7,2.0
27.19,1008.08,82.6,6.0
24.77,1009.66,89.7,4.0
23.47,1011.75,88.5,4.0
22.95,1008.57,98.6,3.0
30.32,1006.94,69.2,9.0
25.68,1009.05,85.1,9.0
32.02,1007.89,57.1,5.0
27.54,1005.01,81.2,9.0
25.24,1009.59,86.5,3.0
24.17,1010.97,93.5,2.0
32.73,1009.86,46.1,7.0
25.77,1008.65,89.9,4.0
28.83,1004.88,75.1,7.0
31.17,1005.42,64.2,6.0
24.18,1008.03,92.8,2.0
25.84,1009.52,87.9,4.0
25.01,1008.27,94.4,1.0
24.68,1009.94,97.5,3.0
25.35,1013.11,80.4,4.0
26.81,1010.48,88.7,2.0
28.24,1008.23,73.7,2.0
23.64,1010.4,96.2,1.0
31.37,1009.07,60.9,7.0
22.51,1013.79,93.9,2.0
24.53,1011.15,93.6,2.0
23.72,1011.28,97.1,3.0
25.3,1012.57,97.8,3.0
30.16,1009.24,66.4,10.0
27.42,1010.81,85.2,3.0
26.65,1007.84,87.7,2.0
24.64,1009.69,93.6,4.0
24.56,1009.62,94.3,2.0
25.89,1008.44,87.6,3.0
24.43,1007.58,94.6,10.0
31.74,1006.47,57.7,2.0
23.98,1007.42,97.9,2.0
24.14,1012.08,96.7,2.0
32.58,1005.12,55.2,2.0
25.0,1010.06,89.3,3.0
25.01,1009.99,90.0,4.0
25.74,1010.68,97.4,2.0
23.73,1009.01,100.0,2.0
24.81,1012.23,96.2,2.0
22.93,1008.88,98.8,3.0
25.09,1007.72,89.7,1.0
24.39,1007.61,96.1,2.0
25.72,1009.24,87.3,12.0
26.94,1009.15,86.6,2.0
26.18,1008.16,88.1,3.0
24.52,1011.43,99.6,3.0
23.55,1012.69,90.1,3.0
28.37,1011.18,63.3,6.0
22.87,1007.17,99.8,8.0
25.09,1006.78,90.5,3.0
23.75,1010.33,98.3,2.0
31.1,1010.06,62.8,4.0
23.48,1009.18,97.2,2.0
27.8,1003.56,71.2,7.0
23.45,1007.42,98.9,1.0
30.75,1008.73,64.7,4.0
